,Vcc,airspeed,alt,alt_error,altgps,armed,climb,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
602663,,0.0,0.0,,,,-0.0016859216848388314,,,0.5479105114936829,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
602665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
603663,,,,,,,,,,,,,,,,,,0.0007768969517201185,-0.004156799055635929,,,,,,,,,,,0.012897681444883347,0.0018571295076981187,,,,,,,,,,,,,,,,1.258434534072876,0.0049888999201357365,,,,,
603663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603663,,0.0,0.0,,,,0.005093298852443695,,,0.5444643497467041,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
603665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1494,1494,1506,1450,1450,1450,1450,,,,,,,,,,,,,,
604663,,,,,,,,,,,,,,,,,,0.0025550215505063534,0.005908983759582043,,,,,,,,,,,0.012360714375972748,-0.0002235837746411562,,,,,,,,,,,,,,,,1.2597739696502686,0.0010372258257120848,,,,,
604663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604663,,0.0,0.0,,,,-0.0010352645767852664,,,0.5404385328292847,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
604665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1495,1495,1505,1450,1450,1450,1450,,,,,,,,,,,,,,
605663,,,,,,,,,,,,,,,,,,0.0015022901352494955,0.004260455723851919,,,,,,,,,,,0.013345520943403244,0.0024493688251823187,,,,,,,,,,,,,,,,1.257207989692688,-0.0034301148261874914,,,,,
605663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605663,,0.0,0.0,,,,-0.002500072820112109,,,0.5393351316452026,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
605665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1495,1495,1505,1450,1450,1450,1450,,,,,,,,,,,,,,
606664,,,,,,,,,,,,,,,,,,0.0019736674148589373,-0.0011905324645340443,,,,,,,,,,,0.013732459396123886,-0.00014660577289760113,,,,,,,,,,,,,,,,1.254124402999878,-0.0017707450315356255,,,,,
606664,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606664,,0.0,0.0,,,,-0.0023809964768588543,,,0.5362709760665894,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
606665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1495,1495,1505,1450,1450,1450,1450,,,,,,,,,,,,,,
607663,,,,,,,,,,,,,,,,,,0.0020611004438251257,-0.0006233530584722757,,,,,,,,,,,0.013721562922000885,0.00251690112054348,,,,,,,,,,,,,,,,1.2496485710144043,-0.0041220830753445625,,,,,
607663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607663,,0.0,0.0,,,,-0.004244005773216486,,,0.5358021855354309,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
607665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1494,1494,1506,1450,1450,1450,1450,,,,,,,,,,,,,,
608663,,,,,,,,,,,,,,,,,,0.001975470222532749,-0.0014124794397503138,,,,,,,,,,,0.013866312801837921,0.00603468669578433,,,,,,,,,,,,,,,,1.2431087493896484,-0.006314939819276333,,,,,
608663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608663,,0.0,0.0,,,,-0.004577509593218565,,,0.5346878170967102,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
608668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1494,1494,1506,1450,1450,1450,1450,,,,,,,,,,,,,,
609664,,,,,,,,,,,,,,,,,,0.0017077219672501087,-0.005038172006607056,,,,,,,,,,,0.012620333582162857,0.004107566550374031,,,,,,,,,,,,,,,,1.2363481521606445,-0.007164048962295055,,,,,
609664,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609664,,0.0,0.0,,,,-0.0018452719086781144,,,0.5308008193969727,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
609665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1494,1494,1506,1450,1450,1450,1450,,,,,,,,,,,,,,
610663,,,,,,,,,,,,,,,,,,0.0015545021742582321,-0.002182244323194027,,,,,,,,,,,0.014201736077666283,0.010802578181028366,,,,,,,,,,,,,,,,1.2274547815322876,-0.00545492023229599,,,,,
610663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610663,,0.0,0.0,,,,-0.00253544794395566,,,0.5266225337982178,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
610665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1494,1494,1506,1450,1450,1450,1450,,,,,,,,,,,,,,
611133,,,,,,,,,,,,,,,,,,0.002059836871922016,-0.0026383346412330866,,,,,,,,,,,0.011926300823688507,-0.009332267567515373,,,,,,,,,,,,,,,,1.2238246202468872,-0.007376848720014095,,,,,
611133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611133,,0.0,0.0,,,,-0.0009889410575851798,,,0.5256149768829346,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
611135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
611533,,,,,,,,,,,,,,,,,,0.0017881584353744984,0.000249889912083745,,,,,,,,,,,0.012507453560829163,0.007807848043739796,,,,,,,,,,,,,,,,1.2203058004379272,-0.007619204930961132,,,,,
611533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611533,,0.0,0.0,,,,-0.002613147720694542,,,0.5251864194869995,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
611535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
611933,,,,,,,,,,,,,,,,,,0.0016820577438920736,-0.001529384171590209,,,,,,,,,,,0.013413945212960243,0.0007263385923579335,,,,,,,,,,,,,,,,1.2171027660369873,-0.004950604401528835,,,,,
611933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611933,,0.0,0.0,,,,-0.002963063307106495,,,0.5236048102378845,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
611936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
612333,,,,,,,,,,,,,,,,,,0.0013959286734461784,-0.0007441570051014423,,,,,,,,,,,0.012501709163188934,-0.0029041217640042305,,,,,,,,,,,,,,,,1.214644432067871,-0.005337503273040056,,,,,
612333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612333,,0.0,0.0,,,,-0.005051224492490292,,,0.5226737260818481,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
612335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
612733,,,,,,,,,,,,,,,,,,0.001880650408565998,-0.0006936010904610157,,,,,,,,,,,0.012451551854610443,0.004974031355232,,,,,,,,,,,,,,,,1.2124381065368652,-0.005205274093896151,,,,,
612733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612733,,0.0,0.0,,,,-0.0033750622533261776,,,0.5218482613563538,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
612735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
613133,,,,,,,,,,,,,,,,,,0.0015217047184705734,-0.0008759712800383568,,,,,,,,,,,0.013611774891614914,-0.0011552961077541113,,,,,,,,,,,,,,,,1.2094041109085083,-0.0073884837329387665,,,,,
613133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613133,,0.0,0.0,,,,-0.004240512382239103,,,0.5203232169151306,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
613135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
613533,,,,,,,,,,,,,,,,,,0.0018008314073085785,0.00013071345165371895,,,,,,,,,,,0.01229165866971016,0.0022299408446997404,,,,,,,,,,,,,,,,1.2055960893630981,-0.0073158759623765945,,,,,
613533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613533,,0.0,0.0,,,,-0.0023560035042464733,,,0.5196202993392944,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
613535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
613933,,,,,,,,,,,,,,,,,,0.0018329224549233913,-0.0018918565474450588,,,,,,,,,,,0.013663819059729576,0.0024777345824986696,,,,,,,,,,,,,,,,1.201432228088379,-0.008907964453101158,,,,,
613933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613933,,0.0,0.0,,,,-0.003940613474696875,,,0.5192961096763611,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
613935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
614333,,,,,,,,,,,,,,,,,,0.0019176232162863016,0.003322004107758403,,,,,,,,,,,0.012473218142986298,5.271332338452339e-05,,,,,,,,,,,,,,,,1.1981606483459473,-0.007527526468038559,,,,,
614333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614333,,0.0,0.0,,,,-0.0030455526430159807,,,0.518947422504425,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
614335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1450,1450,1450,1450,,,,,,,,,,,,,,
614733,,,,,,,,,,,,,,,,,,0.0016254596412181854,-0.004496641457080841,,,,,,,,,,,0.013169988989830017,0.004292456433176994,,,,,,,,,,,,,,,,1.1943018436431885,-0.007559413090348244,,,,,
614733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614733,,0.0,0.0,,,,-0.0025770352222025394,,,0.5210429430007935,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
614735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
615133,,,,,,,,,,,,,,,,,,0.001733442535623908,0.0025283186696469784,,,,,,,,,,,0.013378458097577095,-0.003169626696035266,,,,,,,,,,,,,,,,1.191356897354126,-0.005788656882941723,,,,,
615133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615133,,0.0,0.0,,,,-0.0009813060751184821,,,0.5208292007446289,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
615135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
615533,,,,,,,,,,,,,,,,,,0.001302995951846242,-0.006466081365942955,,,,,,,,,,,0.012737143784761429,0.005009545013308525,,,,,,,,,,,,,,,,1.1888502836227417,-0.002980164485052228,,,,,
615533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615533,,0.0,0.0,,,,-0.0007687893230468035,,,0.5210361480712891,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
615535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
615933,,,,,,,,,,,,,,,,,,0.00137432012706995,0.005092832259833813,,,,,,,,,,,0.014116676524281502,-0.0007575228810310364,,,,,,,,,,,,,,,,1.1867867708206177,-0.004084538668394089,,,,,
615933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615933,,0.0,0.0,,,,0.0004007957177236676,,,0.5215497016906738,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
615935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
616333,,,,,,,,,,,,,,,,,,0.0018158464226871729,-0.005406512878835201,,,,,,,,,,,0.011879924684762955,-0.004450841806828976,,,,,,,,,,,,,,,,1.1845241785049438,-0.005610201042145491,,,,,
616333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616333,,0.0,0.0,,,,-3.0345681807375513e-05,,,0.5242279171943665,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
616335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
616733,,,,,,,,,,,,,,,,,,0.0008971868082880974,0.002755141584202647,,,,,,,,,,,0.01309121772646904,0.007124551106244326,,,,,,,,,,,,,,,,1.181208848953247,-0.008172706700861454,,,,,
616733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616733,,0.0,0.0,,,,7.103160896804184e-06,,,0.5241414308547974,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
616735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
617133,,,,,,,,,,,,,,,,,,0.001311042346060276,-0.00353911891579628,,,,,,,,,,,0.013913795351982117,-0.0024872992653399706,,,,,,,,,,,,,,,,1.17724609375,-0.0067133828997612,,,,,
617133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617133,,0.0,0.0,,,,-0.002053879899904132,,,0.5270430445671082,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
617135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
617533,,,,,,,,,,,,,,,,,,0.0010190641041845083,0.0014583617448806763,,,,,,,,,,,0.012710127979516983,0.0005820861551910639,,,,,,,,,,,,,,,,1.1740827560424805,-0.006496475078165531,,,,,
617533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617533,,0.0,0.0,,,,9.434520325157791e-05,,,0.5276143550872803,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
617535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
617933,,,,,,,,,,,,,,,,,,0.0015632440336048603,-0.0022314111702144146,,,,,,,,,,,0.013111460953950882,0.0010591503232717514,,,,,,,,,,,,,,,,1.170487403869629,-0.0077172694727778435,,,,,
617933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617933,,0.0,0.0,,,,-0.0005215489072725177,,,0.5292500257492065,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
617935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
618333,,,,,,,,,,,,,,,,,,0.000723985256627202,-0.0005540952552109957,,,,,,,,,,,0.013433080166578293,0.0015373799251392484,,,,,,,,,,,,,,,,1.166523814201355,-0.008607497438788414,,,,,
618333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618333,,0.0,0.0,,,,-0.00018345929856877774,,,0.5303781628608704,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
618335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
618733,,,,,,,,,,,,,,,,,,0.0016003367491066456,0.0006119778845459223,,,,,,,,,,,0.012962091714143753,-0.0008314293809235096,,,,,,,,,,,,,,,,1.1618913412094116,-0.01127633173018694,,,,,
618733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618733,,0.0,0.0,,,,-0.002952584298327565,,,0.5316839218139648,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
618735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
619133,,,,,,,,,,,,,,,,,,0.0009948464576154947,-0.0034292556811124086,,,,,,,,,,,0.013158310204744339,0.004574441350996494,,,,,,,,,,,,,,,,1.1564580202102661,-0.013045566156506538,,,,,
619133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619133,,0.0,0.0,,,,-0.0028316231910139322,,,0.5361294150352478,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
619135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
619533,,,,,,,,,,,,,,,,,,0.0008800646755844355,0.003467649919912219,,,,,,,,,,,0.013491852208971977,-0.0018473779782652855,,,,,,,,,,,,,,,,1.1499931812286377,-0.01566898450255394,,,,,
619533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619533,,0.0,0.0,,,,-0.0019139640498906374,,,0.5385801196098328,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
619535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
619933,,,,,,,,,,,,,,,,,,0.002308801980689168,-0.00482421088963747,,,,,,,,,,,0.013366714119911194,0.003039458766579628,,,,,,,,,,,,,,,,1.1421083211898804,-0.019497334957122803,,,,,
619933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619933,,0.0,0.0,,,,-0.0009372576605528593,,,0.5425667762756348,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
619935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,1490,1490,1510,1450,1450,1450,1450,,,,,,,,,,,,,,
620333,,,,,,,,,,,,,,,,,,-0.00024113105610013008,-0.0033616262953728437,,,,,,,,,,,0.01212628185749054,0.0027259564958512783,,,,,,,,,,,,,,,,1.1515121459960938,0.05706397444009781,,,,,
620333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620333,,0.0,0.0,,,,-0.0006572807324118912,,,0.5421757698059082,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
620335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,1490,1490,1510,1450,1450,1450,1450,,,,,,,,,,,,,,
620733,,,,,,,,,,,,,,,,,,0.0006819982081651688,0.0013343098107725382,,,,,,,,,,,0.014591947197914124,0.0016305209137499332,,,,,,,,,,,,,,,,1.1751713752746582,0.06118571758270264,,,,,
620733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620733,,0.0,0.0,,,,-0.00201570987701416,,,0.547310471534729,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
620735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,1490,1490,1510,1450,1450,1450,1450,,,,,,,,,,,,,,
621133,,,,,,,,,,,,,,,,,,-6.327265873551369e-05,-0.007250185590237379,,,,,,,,,,,0.01241610199213028,-0.003567658830434084,,,,,,,,,,,,,,,,1.1988110542297363,0.059765852987766266,,,,,
621133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621133,,0.0,0.0,,,,-0.004275401588529348,,,0.5513908863067627,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
621135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,1491,1491,1509,1450,1450,1450,1450,,,,,,,,,,,,,,
621533,,,,,,,,,,,,,,,,,,-0.0008765384554862976,-0.003223295556381345,,,,,,,,,,,0.013432156294584274,0.007514256052672863,,,,,,,,,,,,,,,,1.220712423324585,0.044695235788822174,,,,,
621533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621533,,0.0,0.0,,,,-0.0015239614294841886,,,0.557663083076477,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
621535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
621933,,,,,,,,,,,,,,,,,,-0.0006659571081399918,-0.0015453980304300785,,,,,,,,,,,0.013006985187530518,-0.007178172469139099,,,,,,,,,,,,,,,,1.2309871912002563,0.015878479927778244,,,,,
621933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621933,,0.0,0.0,,,,-0.003193122800439596,,,0.5635549426078796,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
621935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
622333,,,,,,,,,,,,,,,,,,-0.0007062195800244808,-0.0014008667785674334,,,,,,,,,,,0.012553203850984573,0.003373832441866398,,,,,,,,,,,,,,,,1.2325129508972168,-0.0019379481673240662,,,,,
622333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622333,,0.0,0.0,,,,-0.0017735990695655346,,,0.5701743364334106,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
622335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
622733,,,,,,,,,,,,,,,,,,-0.0011930828914046288,-0.0016252121422439814,,,,,,,,,,,0.012908097356557846,-0.0009725831914693117,,,,,,,,,,,,,,,,1.2285511493682861,-0.011305960826575756,,,,,
622733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622733,,0.0,0.0,,,,-0.0027494048699736595,,,0.5749439001083374,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
622735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
623133,,,,,,,,,,,,,,,,,,0.0072686802595853806,0.15147387981414795,,,,,,,,,,,0.011288635432720184,-0.02346482127904892,,,,,,,,,,,,,,,,1.233966588973999,0.2427341639995575,,,,,
623133,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623133,,0.0,0.0,,,,-0.02678566984832287,,,0.5502293109893799,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
623135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
623533,,,,,,,,,,,,,,,,,,0.07785647362470627,-0.2227189689874649,,,,,,,,,,,-0.20049422979354858,-0.01668700762093067,,,,,,,,,,,,,,,,1.7417280673980713,0.9480221271514893,,,,,
623533,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623533,,0.0,0.0,,,,-0.04607610031962395,,,0.5146020650863647,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
623535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
623933,,,,,,,,,,,,,,,,,,0.039901845157146454,-0.19747394323349,,,,,,,,,,,-0.08614075183868408,0.24937163293361664,,,,,,,,,,,,,,,,2.022305488586426,0.5394666790962219,,,,,
623933,,,,,-10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623933,,0.0,-0.009999999776482582,,,,-0.0012664058012887836,,,0.5660061240196228,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
623935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
624333,,,,,,,,,,,,,,,,,,0.012551417574286461,-0.07119845598936081,,,,,,,,,,,0.0035468265414237976,0.20970407128334045,,,,,,,,,,,,,,,,2.2147676944732666,0.4241061508655548,,,,,
624333,,,,,-10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624333,,0.0,-0.009999999776482582,,,,0.01928439736366272,,,0.6155823469161987,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
