,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
1858288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,1497,1497,1503,1300,1300,1300,1300,,,,,,,,,,,,,,
6153255,,,,,,,,,,,,0.0,,,,,,,,,,,,964.3999633789062,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153255,,,,,,,32767.0,14718.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153350,,,,,,,,,,,,,,,,,,,,,,0.03743009269237518,-0.07008545100688934,,,,,,,,,,,0.04390215501189232,0.3080075979232788,,,,,,,,,,,,,,,,2.4687469005584717,-0.05581708624958992,,,,,
6153350,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153350,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6153350,4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153350,,,,-0.07811830937862396,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6153350,,0.0,0.029999999329447746,,,,,,,0.010195132344961166,,,,0.9075841307640076,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1858386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,1497,1497,1503,1300,1300,1300,1300,,,,,,,,,,,,,,
6153355,,,,,,,,,,,,0.0,,,,,,,,,,,,963.2999877929688,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153355,,,,,,,32767.0,14703.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153450,,,,,,,,,,,,,,,,,,,,,,0.03313282132148743,-0.041683346033096313,,,,,,,,,,,0.07095663994550705,0.234470933675766,,,,,,,,,,,,,,,,2.4638888835906982,-0.03205261006951332,,,,,
6153450,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153450,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6153450,4722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153450,,,,-0.08189446479082108,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6153450,,0.0,0.029999999329447746,,,,,,,0.003878694958984852,,,,0.9283170104026794,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1858486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,1497,1497,1503,1300,1300,1300,1300,,,,,,,,,,,,,,
6153455,,,,,,,,,,,,0.0,,,,,,,,,,,,963.2999877929688,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153455,,,,,,,32767.0,14691.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153550,,,,,,,,,,,,,,,,,,,,,,0.027496885508298874,-0.0697595551609993,,,,,,,,,,,0.08403943479061127,0.04190646484494209,,,,,,,,,,,,,,,,2.4618897438049316,-0.00013812188990414143,,,,,
6153550,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153550,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6153550,4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153550,,,,-0.08395521342754364,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6153550,,0.0,0.029999999329447746,,,,,,,-0.015674272552132607,,,,0.941429078578949,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1858586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,1497,1497,1503,1300,1300,1300,1300,,,,,,,,,,,,,,
6153555,,,,,,,,,,,,0.0,,,,,,,,,,,,962.699951171875,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153555,,,,,,,32767.0,14718.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153650,,,,,,,,,,,,,,,,,,,,,,0.01954512670636177,-0.08081484586000443,,,,,,,,,,,0.06844867765903473,-0.29075607657432556,,,,,,,,,,,,,,,,2.462430715560913,0.01722143590450287,,,,,
6153651,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153651,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6153651,4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153651,,,,-0.08363006263971329,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6153651,,0.0,0.029999999329447746,,,,,,,-0.04277752339839935,,,,0.9523958563804626,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1858686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,1509,1509,1491,1300,1300,1300,1300,,,,,,,,,,,,,,
6153655,,,,,,,,,,,,0.0,,,,,,,,,,,,963.2999877929688,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153655,,,,,,,32767.0,14715.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153750,,,,,,,,,,,,,,,,,,,,,,0.014723362401127815,-0.029736235737800598,,,,,,,,,,,0.023392226547002792,-0.5389655828475952,,,,,,,,,,,,,,,,2.4627177715301514,0.0035409540869295597,,,,,
6153750,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153750,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6153750,4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153750,,,,-0.08168821781873703,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6153750,,0.0,0.029999999329447746,,,,,,,-0.04927225783467293,,,,0.9591706395149231,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1858786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,1509,1509,1491,1300,1300,1300,1300,,,,,,,,,,,,,,
6143693,,,,,,,,,,,,,,,,,,,,,,0.3351510763168335,-0.0026765787042677402,,,,,,,,,,,-0.00717756524682045,0.003390600671991706,,,,,,,,,,,,,,,,0.4701855778694153,-0.014878075569868088,,,,,
6143693,,,,,-1340,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6143693,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143693,,,,1.2794275283813477,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6143693,,0.0,-1.3399999141693115,,,,,,,0.008760033175349236,,,,0.08326475322246552,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1848728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6143695,,,,,,,,,,,,0.0,,,,,,,,,,,,1098.5999755859375,1409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143695,,,,,,,32767.0,14878.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144693,,,,,,,,,,,,,,,,,,,,,,0.3310452997684479,-0.0027271457947790623,,,,,,,,,,,-0.011762868613004684,0.00013314472744241357,,,,,,,,,,,,,,,,0.45493486523628235,-0.01883433572947979,,,,,
6144693,,,,,-1340,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6144693,4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144693,,,,1.2798134088516235,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6144693,,0.0,-1.3399999141693115,,,,,,,0.007911913096904755,,,,0.09649523347616196,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1849728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6144695,,,,,,,,,,,,0.0,,,,,,,,,,,,1098.4000244140625,1409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144695,,,,,,,32767.0,14876.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145693,,,,,,,,,,,,,,,,,,,,,,0.36112529039382935,0.12329284846782684,,,,,,,,,,,0.03993817791342735,0.04757433757185936,,,,,,,,,,,,,,,,0.5760105848312378,0.26787838339805603,,,,,
6145693,,,,,-1290,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6145693,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145693,,,,1.2214463949203491,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6145693,,0.0,-1.2899999618530273,,,,,,,0.2192140817642212,,,,0.17799291014671326,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1850728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,1443,1443,1557,1300,1300,1300,1300,,,,,,,,,,,,,,
6145698,,,,,,,,,,,,0.0,,,,,,,,,,,,1093.7999267578125,1409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145698,,,,,,,32767.0,14713.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146693,,,,,,,,,,,,,,,,,,,,,,0.38683852553367615,-0.0026259608566761017,,,,,,,,,,,0.23367732763290405,0.060493189841508865,,,,,,,,,,,,,,,,0.828984797000885,0.22846411168575287,,,,,
6146693,,,,,-1020,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6146693,4729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146693,,,,0.9219900965690613,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6146693,,0.0,-1.0199999809265137,,,,,,,0.3426831066608429,,,,0.2439049631357193,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1851728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556,1444,1444,1556,1300,1300,1300,1300,,,,,,,,,,,,,,
6146695,,,,,,,,,,,,0.0,,,,,,,,,,,,1067.199951171875,1409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146695,,,,,,,32767.0,14727.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147693,,,,,,,,,,,,,,,,,,,,,,0.2979523539543152,-0.050911299884319305,,,,,,,,,,,0.35497382283210754,-0.0003869895590469241,,,,,,,,,,,,,,,,1.1105014085769653,0.27980437874794006,,,,,
6147693,,,,,-680,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6147693,4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147693,,,,0.5848289728164673,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6147693,,0.0,-0.6800000071525574,,,,,,,0.3465888202190399,,,,0.2703113853931427,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1852728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,1436,1436,1564,1300,1300,1300,1300,,,,,,,,,,,,,,
6147698,,,,,,,,,,,,0.0,,,,,,,,,,,,1033.7999267578125,1409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147698,,,,,,,32767.0,14726.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148693,,,,,,,,,,,,,,,,,,,,,,0.16701045632362366,-0.015975452959537506,,,,,,,,,,,0.3274030387401581,-0.15291744470596313,,,,,,,,,,,,,,,,1.38822603225708,0.24090580642223358,,,,,
6148693,,,,,-330,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6148693,4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148693,,,,0.24748367071151733,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6148693,,0.0,-0.32999998331069946,,,,,,,0.3301117718219757,,,,0.29704004526138306,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1853728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,1433,1433,1567,1300,1300,1300,1300,,,,,,,,,,,,,,
6148698,,,,,,,,,,,,0.0,,,,,,,,,,,,999.5999755859375,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148698,,,,,,,32767.0,14709.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149693,,,,,,,,,,,,,,,,,,,,,,0.0768878161907196,-0.17609737813472748,,,,,,,,,,,0.11662857234477997,-0.4810672104358673,,,,,,,,,,,,,,,,1.6524816751480103,0.3125683665275574,,,,,
6149693,,,,,10,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6149693,4719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149693,,,,-0.06773512065410614,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6149693,,0.0,0.009999999776482582,,,,,,,0.08353396505117416,,,,0.2890499532222748,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1854728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,1436,1436,1564,1300,1300,1300,1300,,,,,,,,,,,,,,
6149698,,,,,,,,,,,,0.0,,,,,,,,,,,,964.8999633789062,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149698,,,,,,,32767.0,14717.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150693,,,,,,,,,,,,,,,,,,,,,,0.018879791721701622,0.03206493332982063,,,,,,,,,,,0.061515867710113525,-0.3453994393348694,,,,,,,,,,,,,,,,2.0398945808410645,0.4057833254337311,,,,,
6150693,,,,,40,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6150693,4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150693,,,,-0.05545429885387421,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6150693,,0.0,0.03999999910593033,,,,,,,-0.06304566562175751,,,,0.4683016836643219,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1855728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556,1444,1444,1556,1300,1300,1300,1300,,,,,,,,,,,,,,
6150695,,,,,,,,,,,,0.0,,,,,,,,,,,,962.3999633789062,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150695,,,,,,,32767.0,14719.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151693,,,,,,,,,,,,,,,,,,,,,,-0.009251007810235023,0.01057288609445095,,,,,,,,,,,0.0290072038769722,-0.3279743194580078,,,,,,,,,,,,,,,,2.396749258041382,0.2214784473180771,,,,,
6151693,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6151693,4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151693,,,,-0.07346265763044357,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6151693,,0.0,0.029999999329447746,,,,,,,-0.044541116803884506,,,,0.6605545282363892,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1856728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534,1466,1466,1534,1300,1300,1300,1300,,,,,,,,,,,,,,
6151698,,,,,,,,,,,,0.0,,,,,,,,,,,,963.5,1407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151698,,,,,,,32767.0,14717.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151943,,,,,,,,,,,,,,,,,,,,,,0.0159286055713892,0.12277457863092422,,,,,,,,,,,-0.04230281338095665,-0.17166507244110107,,,,,,,,,,,,,,,,2.438514471054077,0.1351063847541809,,,,,
6151943,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151943,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6151943,4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151943,,,,-0.07154332846403122,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6151943,,0.0,0.029999999329447746,,,,,,,-0.0542871318757534,,,,0.697688639163971,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1856978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,1465,1465,1535,1300,1300,1300,1300,,,,,,,,,,,,,,
6151948,,,,,,,,,,,,0.0,,,,,,,,,,,,963.2999877929688,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151948,,,,,,,32767.0,14730.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152193,,,,,,,,,,,,,,,,,,,,,,0.03182476758956909,-0.02112548053264618,,,,,,,,,,,-0.015117768198251724,0.2797315716743469,,,,,,,,,,,,,,,,2.461329221725464,0.09390607476234436,,,,,
6152193,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152193,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6152193,4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152193,,,,-0.07214253395795822,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6152193,,0.0,0.029999999329447746,,,,,,,-0.016458140686154366,,,,0.7234674692153931,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1857228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,1465,1465,1535,1300,1300,1300,1300,,,,,,,,,,,,,,
6152198,,,,,,,,,,,,0.0,,,,,,,,,,,,962.7999877929688,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152198,,,,,,,32767.0,14704.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152443,,,,,,,,,,,,,,,,,,,,,,0.017177945002913475,-0.06664017587900162,,,,,,,,,,,0.05357638746500015,0.277862548828125,,,,,,,,,,,,,,,,2.472712755203247,0.011221226304769516,,,,,
6152443,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152443,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6152443,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152443,,,,-0.08047367632389069,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6152443,,0.0,0.029999999329447746,,,,,,,-0.0016778744757175446,,,,0.7798710465431213,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1857478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1300,1300,1300,1300,,,,,,,,,,,,,,
6152448,,,,,,,,,,,,0.0,,,,,,,,,,,,963.3999633789062,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152448,,,,,,,32767.0,14723.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152693,,,,,,,,,,,,,,,,,,,,,,-0.002461753785610199,0.003279215656220913,,,,,,,,,,,0.06370364129543304,-0.20801328122615814,,,,,,,,,,,,,,,,2.473874568939209,0.025556569918990135,,,,,
6152693,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152693,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6152693,4729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152693,,,,-0.08375225216150284,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6152693,,0.0,0.029999999329447746,,,,,,,-0.05639190226793289,,,,0.8147134780883789,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1857728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1300,1300,1300,1300,,,,,,,,,,,,,,
6152698,,,,,,,,,,,,0.0,,,,,,,,,,,,962.5999755859375,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152698,,,,,,,32767.0,14736.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152850,,,,,,,,,,,,,,,,,,,,,,0.010916735976934433,0.10488560050725937,,,,,,,,,,,0.010148610919713974,-0.40314561128616333,,,,,,,,,,,,,,,,2.4769418239593506,0.017622515559196472,,,,,
6152850,,,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152850,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6152850,4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152850,,,,-0.08058537542819977,,,,,,,,,,,,,,,149.0,18.544775009155273,1.8071144819259644,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6152850,,0.0,0.029999999329447746,,,,,,,-0.03981214389204979,,,,0.8343926668167114,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
1857886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,1493,1493,1507,1300,1300,1300,1300,,,,,,,,,,,,,,
